step_size,optim_number,x1,x2,x_HJ1,x_HJ2,y,f_calls_HJ,is_global_min_HJ,x_Rosen.1,x_ROsen2,y_Rosen,f_calls_Rosen,is_global_min_Rosen
0.5,7,0.609092,-0.817423,0.713258,-0.713257,1.46751,471,0,-3.3241e-07,-0.775084,0.620446,471,0
0.5,8,0.81212,-0.439596,0.625858,-0.625858,2.38489,397,0,0.775083,3.56759e-07,0.620446,397,0
0.5,9,0.45918,-0.391524,0.0379925,-0.812712,0.710752,275,0,0.775083,7.83305e-07,0.620446,275,0
0.5,10,-0.197806,0.797881,-0.880741,0.114946,1.36148,322,0,-0.775084,0.775083,1.24089,322,0
0.5,11,0.803113,-0.146358,0.0895636,-0.859908,1.09173,331,0,0.775083,6.76853e-08,0.620446,331,0
0.5,12,-0.715328,0.584251,-0.649789,0.64979,2.08693,377,0,-0.775083,-2.0821e-07,0.620446,377,0
0.5,13,-0.442386,0.760363,-0.601375,0.601374,2.7065,207,0,8.41902e-07,0.775084,0.620446,207,0
0.5,14,0.199422,0.723271,0.112073,0.635922,1.50366,412,0,0.775084,0.775084,1.24089,412,0
0.5,15,-0.930195,0.483924,-0.707059,0.70706,1.51321,500,0,-0.775084,0.775083,1.24089,500,0
0.5,16,0.401676,0.0213236,0.190176,-0.190177,1.91667,292,0,0.775083,-5.8393e-07,0.620446,292,0
0.5,17,0.996536,-0.0265784,0.892422,-0.130693,1.54493,416,0,0.775083,5.12794e-07,0.620446,416,0
0.5,18,0.433372,0.368461,0.0324558,-0.0324559,0.0666683,254,0,0.775083,0.775084,1.24089,254,0
0.5,19,0.47268,-0.493622,0.867625,-0.0986766,1.18383,302,0,0.775084,1.2316e-07,0.620446,302,0
0.5,20,-0.603235,-0.148714,-0.572798,-0.118277,1.95728,490,0,2.24947e-07,-4.00764e-07,6.71885e-12,490,1
0.5,21,-0.284736,0.0299168,-0.157326,0.157327,1.39049,350,0,2.82635e-07,2.33975e-08,2.5584e-12,350,1
0.5,22,0.195391,0.928743,-0.753842,-0.0204908,0.64767,390,0,0.775084,-8.13976e-07,0.620446,390,0
0.5,23,0.151707,-0.74012,0.832686,-0.0591423,0.834647,445,0,8.02772e-07,-0.775084,0.620446,445,0
0.5,24,-0.126943,-0.808309,-0.0454554,-0.726821,0.755571,253,0,5.39379e-07,-0.775083,0.620446,253,0
0.5,25,0.691091,-0.477171,0.897442,-0.270819,2.68217,330,0,0.775083,1.33283e-08,0.620446,330,0
0.5,26,-0.612178,0.469959,-0.168069,0.914068,1.98729,377,0,8.3953e-07,0.775083,0.620446,377,0
0.5,27,-0.458028,0.433593,-0.0590357,0.832586,0.833897,335,0,5.15685e-07,0.775083,0.620446,335,0
0.5,28,0.591391,-0.163881,0.765044,0.00977327,0.62661,390,0,-1.05299e-07,7.09075e-07,1.63469e-11,390,1
0.5,29,-0.692167,-0.742129,0.0249801,-0.0249815,0.0395799,302,0,-0.775083,-0.775084,1.24089,302,0
0.5,30,0.516638,-0.144935,0.716325,0.0547526,0.817103,385,0,-2.76606e-07,9.43824e-07,3.07714e-11,385,1
0.5,31,-0.0954482,0.504831,0.0824457,0.682725,1.07234,453,0,-6.84764e-07,-3.27566e-07,1.83298e-11,453,1
0.5,32,-0.359621,0.757024,-0.195065,0.92158,2.26714,298,0,3.34069e-07,0.775084,0.620446,298,0
0.5,33,0.752047,-0.467104,0.609575,-0.609575,2.59774,346,0,0.775084,-8.99784e-08,0.620446,346,0
0.5,34,-0.360681,0.592672,-0.0916533,0.8617,1.11232,434,0,5.69611e-07,1.50738e-07,1.10441e-11,434,1
0.5,35,-0.509435,0.965358,-0.737397,0.737396,1.32721,577,0,8.11131e-07,0.775083,0.620446,577,0
0.5,36,-0.182318,0.51382,0.0384342,0.734572,0.716836,315,0,-0.775084,-8.88119e-07,0.620446,315,0
0.5,37,0.828358,0.9435,0.714745,0.829887,1.44393,447,0,0.775084,0.775083,1.24089,447,0
0.5,38,-0.758293,0.412301,-0.277969,0.892625,2.69873,443,0,-0.775083,0.775084,1.24089,443,0
0.5,39,-0.339377,0.534263,-0.0497404,0.8239,0.77351,359,0,-5.95857e-07,-4.44491e-07,1.75795e-11,359,1
0.5,40,-0.232491,0.557701,-0.0075044,0.782688,0.624048,378,0,-0.775084,3.00807e-07,0.620446,378,0
0.5,41,-0.36101,0.104614,0.121147,0.586771,1.88415,241,0,1.5127e-08,-5.02834e-07,8.05045e-12,241,1
0.5,42,-0.595625,-0.342406,-0.12661,0.12661,0.941188,256,0,-3.21131e-07,-2.95186e-07,6.05249e-12,256,1
0.5,43,-0.723627,-0.19996,-0.635797,-0.11213,1.5048,427,0,-0.775083,-0.775083,1.24089,427,0
0.5,44,-0.125193,0.838041,-0.0970059,0.866228,1.1665,253,0,-5.03217e-08,0.775083,0.620446,253,0
0.5,45,-0.0265126,-0.21002,0.0917544,-0.091753,0.513578,260,0,-4.71672e-07,-0.775084,0.620446,260,0
0.5,46,-0.497848,-0.957349,-0.119933,-0.579434,1.92463,313,0,6.79228e-08,-0.775083,0.620446,313,0
0.5,47,0.752758,0.121981,0.69969,0.0689128,0.933698,351,0,0.775084,2.67807e-07,0.620446,351,0
0.5,48,0.42742,-0.786454,0.606938,-0.606937,2.63266,221,0,0.775084,-0.775083,1.24089,221,0
