Czas;VA;VB;TB
240x;2.85053x;2.33423x;50.1258x
241x;2.84283x;2.33665x;50.1283x
242x;2.83513x;2.33905x;50.1306x
243x;2.82745x;2.34143x;50.1327x
244x;2.81979x;2.34379x;50.1346x
245x;2.81213x;2.34614x;50.1363x
246x;2.80448x;2.34847x;50.1378x
247x;2.79684x;2.35078x;50.1391x
248x;2.78921x;2.35307x;50.1402x
249x;2.78159x;2.35534x;50.1412x
250x;2.77399x;2.3576x;50.1419x
251x;2.76639x;2.35984x;50.1425x
252x;2.7588x;2.36206x;50.1429x
253x;2.75123x;2.36426x;50.1431x
254x;2.74366x;2.36645x;50.1432x
255x;2.73611x;2.36862x;50.143x
256x;2.72856x;2.37077x;50.1427x
257x;2.72103x;2.3729x;50.1423x
258x;2.7135x;2.37502x;50.1416x
259x;2.70599x;2.37712x;50.1408x
260x;2.69849x;2.3792x;50.1398x
261x;2.69099x;2.38126x;50.1387x
262x;2.68351x;2.38331x;50.1374x
263x;2.67604x;2.38534x;50.1359x
264x;2.66858x;2.38735x;50.1343x
265x;2.66113x;2.38935x;50.1325x
266x;2.65369x;2.39133x;50.1305x
267x;2.64626x;2.39329x;50.1284x
268x;2.63884x;2.39524x;50.1261x
269x;2.63143x;2.39717x;50.1237x
270x;2.62403x;2.39908x;50.1211x
271x;2.61664x;2.40098x;50.1184x
272x;2.60926x;2.40286x;50.1155x
273x;2.60189x;2.40472x;50.1125x
274x;2.59454x;2.40657x;50.1093x
275x;2.58719x;2.4084x;50.106x
276x;2.57985x;2.41021x;50.1025x
277x;2.57253x;2.41201x;50.0989x
278x;2.56521x;2.41379x;50.0952x
279x;2.55791x;2.41556x;50.0913x
280x;2.55061x;2.41731x;50.0872x
281x;2.54333x;2.41904x;50.0831x
282x;2.53605x;2.42076x;50.0787x
283x;2.52879x;2.42246x;50.0743x
284x;2.52154x;2.42415x;50.0697x
285x;2.5143x;2.42582x;50.065x
286x;2.50706x;2.42747x;50.0601x
287x;2.49984x;2.42911x;50.0551x
288x;2.49263x;2.43074x;50.05x
289x;2.48543x;2.43234x;50.0447x
290x;2.47824x;2.43394x;50.0394x
291x;2.47106x;2.43551x;50.0339x
292x;2.46389x;2.43707x;50.0282x
293x;2.45673x;2.43862x;50.0224x
294x;2.44958x;2.44015x;50.0165x
295x;2.44244x;2.44167x;50.0105x
