Czas;VA;VB;TB
1262x;-7.31066e-07x;1.15084x;21.0459x
1263x;-7.31066e-07x;1.15011x;21.0369x
1264x;-7.31066e-07x;1.14939x;21.0279x
1265x;-7.31066e-07x;1.14867x;21.019x
1266x;-7.31066e-07x;1.14795x;21.0102x
1267x;-7.31066e-07x;1.14724x;21.0014x
1268x;-7.31066e-07x;1.14653x;20.9927x
1269x;-7.31066e-07x;1.14582x;20.9841x
1270x;-7.31066e-07x;1.14512x;20.9755x
1271x;-7.31066e-07x;1.14442x;20.9671x
1272x;-7.31066e-07x;1.14373x;20.9586x
1273x;-7.31066e-07x;1.14303x;20.9503x
1274x;-7.31066e-07x;1.14234x;20.942x
1275x;-7.31066e-07x;1.14166x;20.9338x
1276x;-7.31066e-07x;1.14097x;20.9256x
1277x;-7.31066e-07x;1.14029x;20.9176x
1278x;-7.31066e-07x;1.13962x;20.9096x
1279x;-7.31066e-07x;1.13894x;20.9016x
1280x;-7.31066e-07x;1.13827x;20.8937x
1281x;-7.31066e-07x;1.13761x;20.8859x
1282x;-7.31066e-07x;1.13694x;20.8781x
1283x;-7.31066e-07x;1.13628x;20.8705x
1284x;-7.31066e-07x;1.13562x;20.8628x
1285x;-7.31066e-07x;1.13497x;20.8553x
1286x;-7.31066e-07x;1.13431x;20.8478x
1287x;-7.31066e-07x;1.13367x;20.8403x
1288x;-7.31066e-07x;1.13302x;20.8329x
1289x;-7.31066e-07x;1.13238x;20.8256x
1290x;-7.31066e-07x;1.13174x;20.8183x
1291x;-7.31066e-07x;1.1311x;20.8111x
1292x;-7.31066e-07x;1.13047x;20.804x
1293x;-7.31066e-07x;1.12984x;20.7969x
1294x;-7.31066e-07x;1.12921x;20.7899x
1295x;-7.31066e-07x;1.12858x;20.7829x
1296x;-7.31066e-07x;1.12796x;20.776x
1297x;-7.31066e-07x;1.12734x;20.7692x
1298x;-7.31066e-07x;1.12673x;20.7624x
1299x;-7.31066e-07x;1.12611x;20.7556x
1300x;-7.31066e-07x;1.1255x;20.749x
1301x;-7.31066e-07x;1.12489x;20.7423x
1302x;-7.31066e-07x;1.12429x;20.7358x
1303x;-7.31066e-07x;1.12369x;20.7292x
1304x;-7.31066e-07x;1.12309x;20.7228x
1305x;-7.31066e-07x;1.12249x;20.7164x
1306x;-7.31066e-07x;1.1219x;20.71x
1307x;-7.31066e-07x;1.12131x;20.7037x
1308x;-7.31066e-07x;1.12072x;20.6975x
1309x;-7.31066e-07x;1.12014x;20.6913x
1310x;-7.31066e-07x;1.11955x;20.6851x
1311x;-7.31066e-07x;1.11897x;20.679x
1312x;-7.31066e-07x;1.1184x;20.673x
1313x;-7.31066e-07x;1.11782x;20.667x
1314x;-7.31066e-07x;1.11725x;20.661x
1315x;-7.31066e-07x;1.11668x;20.6552x
1316x;-7.31066e-07x;1.11612x;20.6493x
1317x;-7.31066e-07x;1.11555x;20.6435x
1318x;-7.31066e-07x;1.11499x;20.6378x
1319x;-7.31066e-07x;1.11444x;20.6321x
1320x;-7.31066e-07x;1.11388x;20.6264x
1321x;-7.31066e-07x;1.11333x;20.6208x
1322x;-7.31066e-07x;1.11278x;20.6153x
1323x;-7.31066e-07x;1.11223x;20.6098x
1324x;-7.31066e-07x;1.11169x;20.6043x
1325x;-7.31066e-07x;1.11114x;20.5989x
1326x;-7.31066e-07x;1.1106x;20.5935x
1327x;-7.31066e-07x;1.11007x;20.5882x
1328x;-7.31066e-07x;1.10953x;20.5829x
1329x;-7.31066e-07x;1.109x;20.5777x
1330x;-7.31066e-07x;1.10847x;20.5725x
1331x;-7.31066e-07x;1.10794x;20.5674x
1332x;-7.31066e-07x;1.10742x;20.5623x
1333x;-7.31066e-07x;1.1069x;20.5572x
1334x;-7.31066e-07x;1.10638x;20.5522x
1335x;-7.31066e-07x;1.10586x;20.5472x
1336x;-7.31066e-07x;1.10534x;20.5423x
1337x;-7.31066e-07x;1.10483x;20.5374x
1338x;-7.31066e-07x;1.10432x;20.5326x
1339x;-7.31066e-07x;1.10381x;20.5278x
1340x;-7.31066e-07x;1.10331x;20.523x
1341x;-7.31066e-07x;1.10281x;20.5183x
1342x;-7.31066e-07x;1.10231x;20.5136x
1343x;-7.31066e-07x;1.10181x;20.509x
1344x;-7.31066e-07x;1.10131x;20.5044x
1345x;-7.31066e-07x;1.10082x;20.4998x
1346x;-7.31066e-07x;1.10033x;20.4953x
1347x;-7.31066e-07x;1.09984x;20.4908x
1348x;-7.31066e-07x;1.09935x;20.4864x
1349x;-7.31066e-07x;1.09887x;20.482x
1350x;-7.31066e-07x;1.09839x;20.4776x
1351x;-7.31066e-07x;1.09791x;20.4733x
1352x;-7.31066e-07x;1.09743x;20.469x
1353x;-7.31066e-07x;1.09696x;20.4647x
1354x;-7.31066e-07x;1.09649x;20.4605x
1355x;-7.31066e-07x;1.09602x;20.4563x
1356x;-7.31066e-07x;1.09555x;20.4522x
1357x;-7.31066e-07x;1.09508x;20.4481x
1358x;-7.31066e-07x;1.09462x;20.444x
1359x;-7.31066e-07x;1.09416x;20.44x
1360x;-7.31066e-07x;1.0937x;20.436x
1361x;-7.31066e-07x;1.09324x;20.432x
1362x;-7.31066e-07x;1.09279x;20.4281x
1363x;-7.31066e-07x;1.09233x;20.4242x
1364x;-7.31066e-07x;1.09188x;20.4203x
1365x;-7.31066e-07x;1.09144x;20.4165x
1366x;-7.31066e-07x;1.09099x;20.4127x
1367x;-7.31066e-07x;1.09054x;20.4089x
1368x;-7.31066e-07x;1.0901x;20.4052x
1369x;-7.31066e-07x;1.08966x;20.4015x
1370x;-7.31066e-07x;1.08923x;20.3978x
1371x;-7.31066e-07x;1.08879x;20.3942x
1372x;-7.31066e-07x;1.08836x;20.3905x
1373x;-7.31066e-07x;1.08793x;20.387x
1374x;-7.31066e-07x;1.0875x;20.3834x
1375x;-7.31066e-07x;1.08707x;20.3799x
1376x;-7.31066e-07x;1.08664x;20.3764x
1377x;-7.31066e-07x;1.08622x;20.373x
1378x;-7.31066e-07x;1.0858x;20.3696x
1379x;-7.31066e-07x;1.08538x;20.3662x
1380x;-7.31066e-07x;1.08496x;20.3628x
1381x;-7.31066e-07x;1.08455x;20.3595x
1382x;-7.31066e-07x;1.08413x;20.3562x
1383x;-7.31066e-07x;1.08372x;20.3529x
1384x;-7.31066e-07x;1.08331x;20.3497x
1385x;-7.31066e-07x;1.08291x;20.3465x
1386x;-7.31066e-07x;1.0825x;20.3433x
1387x;-7.31066e-07x;1.0821x;20.3401x
1388x;-7.31066e-07x;1.0817x;20.337x
1389x;-7.31066e-07x;1.0813x;20.3339x
1390x;-7.31066e-07x;1.0809x;20.3308x
1391x;-7.31066e-07x;1.0805x;20.3278x
1392x;-7.31066e-07x;1.08011x;20.3248x
1393x;-7.31066e-07x;1.07972x;20.3218x
1394x;-7.31066e-07x;1.07933x;20.3188x
1395x;-7.31066e-07x;1.07894x;20.3159x
1396x;-7.31066e-07x;1.07855x;20.3129x
1397x;-7.31066e-07x;1.07817x;20.3101x
1398x;-7.31066e-07x;1.07779x;20.3072x
1399x;-7.31066e-07x;1.07741x;20.3044x
1400x;-7.31066e-07x;1.07703x;20.3015x
1401x;-7.31066e-07x;1.07665x;20.2988x
1402x;-7.31066e-07x;1.07628x;20.296x
1403x;-7.31066e-07x;1.0759x;20.2933x
1404x;-7.31066e-07x;1.07553x;20.2905x
1405x;-7.31066e-07x;1.07516x;20.2878x
1406x;-7.31066e-07x;1.07479x;20.2852x
1407x;-7.31066e-07x;1.07443x;20.2825x
1408x;-7.31066e-07x;1.07406x;20.2799x
1409x;-7.31066e-07x;1.0737x;20.2773x
1410x;-7.31066e-07x;1.07334x;20.2748x
1411x;-7.31066e-07x;1.07298x;20.2722x
1412x;-7.31066e-07x;1.07262x;20.2697x
1413x;-7.31066e-07x;1.07226x;20.2672x
1414x;-7.31066e-07x;1.07191x;20.2647x
1415x;-7.31066e-07x;1.07156x;20.2622x
1416x;-7.31066e-07x;1.07121x;20.2598x
1417x;-7.31066e-07x;1.07086x;20.2574x
1418x;-7.31066e-07x;1.07051x;20.255x
1419x;-7.31066e-07x;1.07017x;20.2526x
1420x;-7.31066e-07x;1.06982x;20.2503x
1421x;-7.31066e-07x;1.06948x;20.2479x
1422x;-7.31066e-07x;1.06914x;20.2456x
1423x;-7.31066e-07x;1.0688x;20.2434x
1424x;-7.31066e-07x;1.06846x;20.2411x
1425x;-7.31066e-07x;1.06813x;20.2388x
1426x;-7.31066e-07x;1.06779x;20.2366x
1427x;-7.31066e-07x;1.06746x;20.2344x
1428x;-7.31066e-07x;1.06713x;20.2322x
1429x;-7.31066e-07x;1.0668x;20.2301x
1430x;-7.31066e-07x;1.06647x;20.2279x
1431x;-7.31066e-07x;1.06614x;20.2258x
1432x;-7.31066e-07x;1.06582x;20.2237x
1433x;-7.31066e-07x;1.0655x;20.2216x
1434x;-7.31066e-07x;1.06518x;20.2195x
1435x;-7.31066e-07x;1.06486x;20.2175x
1436x;-7.31066e-07x;1.06454x;20.2154x
1437x;-7.31066e-07x;1.06422x;20.2134x
1438x;-7.31066e-07x;1.0639x;20.2114x
1439x;-7.31066e-07x;1.06359x;20.2094x
1440x;-7.31066e-07x;1.06328x;20.2075x
1441x;-7.31066e-07x;1.06297x;20.2055x
1442x;-7.31066e-07x;1.06266x;20.2036x
1443x;-7.31066e-07x;1.06235x;20.2017x
1444x;-7.31066e-07x;1.06204x;20.1998x
1445x;-7.31066e-07x;1.06174x;20.1979x
1446x;-7.31066e-07x;1.06144x;20.1961x
1447x;-7.31066e-07x;1.06113x;20.1942x
1448x;-7.31066e-07x;1.06083x;20.1924x
1449x;-7.31066e-07x;1.06054x;20.1906x
1450x;-7.31066e-07x;1.06024x;20.1888x
1451x;-7.31066e-07x;1.05994x;20.1871x
1452x;-7.31066e-07x;1.05965x;20.1853x
1453x;-7.31066e-07x;1.05935x;20.1836x
1454x;-7.31066e-07x;1.05906x;20.1818x
1455x;-7.31066e-07x;1.05877x;20.1801x
1456x;-7.31066e-07x;1.05848x;20.1784x
1457x;-7.31066e-07x;1.0582x;20.1768x
1458x;-7.31066e-07x;1.05791x;20.1751x
1459x;-7.31066e-07x;1.05762x;20.1734x
1460x;-7.31066e-07x;1.05734x;20.1718x
1461x;-7.31066e-07x;1.05706x;20.1702x
1462x;-7.31066e-07x;1.05678x;20.1686x
1463x;-7.31066e-07x;1.0565x;20.167x
1464x;-7.31066e-07x;1.05622x;20.1654x
1465x;-7.31066e-07x;1.05594x;20.1639x
1466x;-7.31066e-07x;1.05567x;20.1623x
1467x;-7.31066e-07x;1.0554x;20.1608x
1468x;-7.31066e-07x;1.05512x;20.1593x
1469x;-7.31066e-07x;1.05485x;20.1578x
1470x;-7.31066e-07x;1.05458x;20.1563x
1471x;-7.31066e-07x;1.05431x;20.1548x
1472x;-7.31066e-07x;1.05405x;20.1534x
1473x;-7.31066e-07x;1.05378x;20.1519x
1474x;-7.31066e-07x;1.05351x;20.1505x
1475x;-7.31066e-07x;1.05325x;20.149x
1476x;-7.31066e-07x;1.05299x;20.1476x
1477x;-7.31066e-07x;1.05273x;20.1462x
1478x;-7.31066e-07x;1.05247x;20.1449x
1479x;-7.31066e-07x;1.05221x;20.1435x
1480x;-7.31066e-07x;1.05195x;20.1421x
1481x;-7.31066e-07x;1.0517x;20.1408x
1482x;-7.31066e-07x;1.05144x;20.1395x
1483x;-7.31066e-07x;1.05119x;20.1381x
1484x;-7.31066e-07x;1.05094x;20.1368x
1485x;-7.31066e-07x;1.05069x;20.1355x
1486x;-7.31066e-07x;1.05044x;20.1342x
1487x;-7.31066e-07x;1.05019x;20.133x
1488x;-7.31066e-07x;1.04994x;20.1317x
1489x;-7.31066e-07x;1.0497x;20.1305x
1490x;-7.31066e-07x;1.04945x;20.1292x
1491x;-7.31066e-07x;1.04921x;20.128x
1492x;-7.31066e-07x;1.04896x;20.1268x
1493x;-7.31066e-07x;1.04872x;20.1256x
1494x;-7.31066e-07x;1.04848x;20.1244x
1495x;-7.31066e-07x;1.04824x;20.1232x
1496x;-7.31066e-07x;1.04801x;20.122x
1497x;-7.31066e-07x;1.04777x;20.1209x
1498x;-7.31066e-07x;1.04753x;20.1197x
1499x;-7.31066e-07x;1.0473x;20.1186x
1500x;-7.31066e-07x;1.04707x;20.1175x
1501x;-7.31066e-07x;1.04683x;20.1164x
1502x;-7.31066e-07x;1.0466x;20.1152x
1503x;-7.31066e-07x;1.04637x;20.1142x
1504x;-7.31066e-07x;1.04614x;20.1131x
1505x;-7.31066e-07x;1.04592x;20.112x
1506x;-7.31066e-07x;1.04569x;20.1109x
1507x;-7.31066e-07x;1.04547x;20.1099x
1508x;-7.31066e-07x;1.04524x;20.1088x
1509x;-7.31066e-07x;1.04502x;20.1078x
1510x;-7.31066e-07x;1.0448x;20.1068x
1511x;-7.31066e-07x;1.04458x;20.1057x
1512x;-7.31066e-07x;1.04436x;20.1047x
1513x;-7.31066e-07x;1.04414x;20.1037x
1514x;-7.31066e-07x;1.04392x;20.1027x
1515x;-7.31066e-07x;1.0437x;20.1018x
1516x;-7.31066e-07x;1.04349x;20.1008x
1517x;-7.31066e-07x;1.04327x;20.0998x
1518x;-7.31066e-07x;1.04306x;20.0989x
1519x;-7.31066e-07x;1.04285x;20.0979x
1520x;-7.31066e-07x;1.04263x;20.097x
1521x;-7.31066e-07x;1.04242x;20.0961x
1522x;-7.31066e-07x;1.04221x;20.0952x
1523x;-7.31066e-07x;1.04201x;20.0943x
1524x;-7.31066e-07x;1.0418x;20.0934x
1525x;-7.31066e-07x;1.04159x;20.0925x
1526x;-7.31066e-07x;1.04139x;20.0916x
1527x;-7.31066e-07x;1.04118x;20.0907x
1528x;-7.31066e-07x;1.04098x;20.0898x
1529x;-7.31066e-07x;1.04078x;20.089x
1530x;-7.31066e-07x;1.04058x;20.0881x
1531x;-7.31066e-07x;1.04038x;20.0873x
1532x;-7.31066e-07x;1.04018x;20.0864x
1533x;-7.31066e-07x;1.03998x;20.0856x
1534x;-7.31066e-07x;1.03978x;20.0848x
1535x;-7.31066e-07x;1.03958x;20.084x
1536x;-7.31066e-07x;1.03939x;20.0832x
1537x;-7.31066e-07x;1.03919x;20.0824x
1538x;-7.31066e-07x;1.039x;20.0816x
1539x;-7.31066e-07x;1.03881x;20.0808x
1540x;-7.31066e-07x;1.03862x;20.08x
1541x;-7.31066e-07x;1.03843x;20.0793x
1542x;-7.31066e-07x;1.03824x;20.0785x
1543x;-7.31066e-07x;1.03805x;20.0778x
1544x;-7.31066e-07x;1.03786x;20.077x
1545x;-7.31066e-07x;1.03767x;20.0763x
1546x;-7.31066e-07x;1.03749x;20.0755x
1547x;-7.31066e-07x;1.0373x;20.0748x
1548x;-7.31066e-07x;1.03712x;20.0741x
1549x;-7.31066e-07x;1.03693x;20.0734x
1550x;-7.31066e-07x;1.03675x;20.0727x
1551x;-7.31066e-07x;1.03657x;20.072x
1552x;-7.31066e-07x;1.03639x;20.0713x
1553x;-7.31066e-07x;1.03621x;20.0706x
1554x;-7.31066e-07x;1.03603x;20.0699x
1555x;-7.31066e-07x;1.03585x;20.0693x
1556x;-7.31066e-07x;1.03567x;20.0686x
1557x;-7.31066e-07x;1.0355x;20.0679x
1558x;-7.31066e-07x;1.03532x;20.0673x
1559x;-7.31066e-07x;1.03515x;20.0666x
1560x;-7.31066e-07x;1.03497x;20.066x
1561x;-7.31066e-07x;1.0348x;20.0654x
1562x;-7.31066e-07x;1.03463x;20.0647x
1563x;-7.31066e-07x;1.03446x;20.0641x
1564x;-7.31066e-07x;1.03429x;20.0635x
1565x;-7.31066e-07x;1.03412x;20.0629x
1566x;-7.31066e-07x;1.03395x;20.0623x
1567x;-7.31066e-07x;1.03378x;20.0617x
1568x;-7.31066e-07x;1.03361x;20.0611x
1569x;-7.31066e-07x;1.03345x;20.0605x
1570x;-7.31066e-07x;1.03328x;20.0599x
1571x;-7.31066e-07x;1.03312x;20.0593x
1572x;-7.31066e-07x;1.03295x;20.0588x
1573x;-7.31066e-07x;1.03279x;20.0582x
1574x;-7.31066e-07x;1.03263x;20.0576x
1575x;-7.31066e-07x;1.03247x;20.0571x
1576x;-7.31066e-07x;1.03231x;20.0565x
1577x;-7.31066e-07x;1.03215x;20.056x
1578x;-7.31066e-07x;1.03199x;20.0555x
1579x;-7.31066e-07x;1.03183x;20.0549x
1580x;-7.31066e-07x;1.03167x;20.0544x
1581x;-7.31066e-07x;1.03151x;20.0539x
1582x;-7.31066e-07x;1.03136x;20.0533x
1583x;-7.31066e-07x;1.0312x;20.0528x
1584x;-7.31066e-07x;1.03105x;20.0523x
1585x;-7.31066e-07x;1.03089x;20.0518x
1586x;-7.31066e-07x;1.03074x;20.0513x
1587x;-7.31066e-07x;1.03059x;20.0508x
1588x;-7.31066e-07x;1.03044x;20.0503x
1589x;-7.31066e-07x;1.03029x;20.0498x
1590x;-7.31066e-07x;1.03014x;20.0494x
1591x;-7.31066e-07x;1.02999x;20.0489x
1592x;-7.31066e-07x;1.02984x;20.0484x
1593x;-7.31066e-07x;1.02969x;20.0479x
1594x;-7.31066e-07x;1.02955x;20.0475x
1595x;-7.31066e-07x;1.0294x;20.047x
1596x;-7.31066e-07x;1.02925x;20.0466x
1597x;-7.31066e-07x;1.02911x;20.0461x
1598x;-7.31066e-07x;1.02896x;20.0457x
1599x;-7.31066e-07x;1.02882x;20.0452x
1600x;-7.31066e-07x;1.02868x;20.0448x
1601x;-7.31066e-07x;1.02854x;20.0444x
1602x;-7.31066e-07x;1.0284x;20.0439x
1603x;-7.31066e-07x;1.02825x;20.0435x
1604x;-7.31066e-07x;1.02811x;20.0431x
1605x;-7.31066e-07x;1.02798x;20.0427x
1606x;-7.31066e-07x;1.02784x;20.0423x
1607x;-7.31066e-07x;1.0277x;20.0418x
1608x;-7.31066e-07x;1.02756x;20.0414x
1609x;-7.31066e-07x;1.02743x;20.041x
1610x;-7.31066e-07x;1.02729x;20.0406x
1611x;-7.31066e-07x;1.02715x;20.0402x
1612x;-7.31066e-07x;1.02702x;20.0399x
1613x;-7.31066e-07x;1.02689x;20.0395x
1614x;-7.31066e-07x;1.02675x;20.0391x
1615x;-7.31066e-07x;1.02662x;20.0387x
1616x;-7.31066e-07x;1.02649x;20.0383x
1617x;-7.31066e-07x;1.02636x;20.038x
1618x;-7.31066e-07x;1.02623x;20.0376x
1619x;-7.31066e-07x;1.0261x;20.0372x
1620x;-7.31066e-07x;1.02597x;20.0369x
1621x;-7.31066e-07x;1.02584x;20.0365x
1622x;-7.31066e-07x;1.02571x;20.0362x
1623x;-7.31066e-07x;1.02558x;20.0358x
1624x;-7.31066e-07x;1.02546x;20.0355x
1625x;-7.31066e-07x;1.02533x;20.0351x
1626x;-7.31066e-07x;1.0252x;20.0348x
1627x;-7.31066e-07x;1.02508x;20.0344x
1628x;-7.31066e-07x;1.02496x;20.0341x
1629x;-7.31066e-07x;1.02483x;20.0338x
1630x;-7.31066e-07x;1.02471x;20.0334x
1631x;-7.31066e-07x;1.02459x;20.0331x
1632x;-7.31066e-07x;1.02446x;20.0328x
1633x;-7.31066e-07x;1.02434x;20.0325x
1634x;-7.31066e-07x;1.02422x;20.0322x
1635x;-7.31066e-07x;1.0241x;20.0318x
1636x;-7.31066e-07x;1.02398x;20.0315x
1637x;-7.31066e-07x;1.02386x;20.0312x
1638x;-7.31066e-07x;1.02375x;20.0309x
1639x;-7.31066e-07x;1.02363x;20.0306x
1640x;-7.31066e-07x;1.02351x;20.0303x
1641x;-7.31066e-07x;1.02339x;20.03x
1642x;-7.31066e-07x;1.02328x;20.0297x
1643x;-7.31066e-07x;1.02316x;20.0295x
1644x;-7.31066e-07x;1.02305x;20.0292x
1645x;-7.31066e-07x;1.02293x;20.0289x
1646x;-7.31066e-07x;1.02282x;20.0286x
1647x;-7.31066e-07x;1.02271x;20.0283x
1648x;-7.31066e-07x;1.02259x;20.028x
1649x;-7.31066e-07x;1.02248x;20.0278x
1650x;-7.31066e-07x;1.02237x;20.0275x
1651x;-7.31066e-07x;1.02226x;20.0272x
1652x;-7.31066e-07x;1.02215x;20.027x
1653x;-7.31066e-07x;1.02204x;20.0267x
1654x;-7.31066e-07x;1.02193x;20.0264x
1655x;-7.31066e-07x;1.02182x;20.0262x
1656x;-7.31066e-07x;1.02171x;20.0259x
1657x;-7.31066e-07x;1.02161x;20.0257x
1658x;-7.31066e-07x;1.0215x;20.0254x
1659x;-7.31066e-07x;1.02139x;20.0252x
1660x;-7.31066e-07x;1.02129x;20.0249x
1661x;-7.31066e-07x;1.02118x;20.0247x
1662x;-7.31066e-07x;1.02107x;20.0245x
1663x;-7.31066e-07x;1.02097x;20.0242x
1664x;-7.31066e-07x;1.02087x;20.024x
1665x;-7.31066e-07x;1.02076x;20.0237x
1666x;-7.31066e-07x;1.02066x;20.0235x
1667x;-7.31066e-07x;1.02056x;20.0233x
1668x;-7.31066e-07x;1.02045x;20.0231x
1669x;-7.31066e-07x;1.02035x;20.0228x
1670x;-7.31066e-07x;1.02025x;20.0226x
1671x;-7.31066e-07x;1.02015x;20.0224x
1672x;-7.31066e-07x;1.02005x;20.0222x
1673x;-7.31066e-07x;1.01995x;20.022x
1674x;-7.31066e-07x;1.01985x;20.0217x
1675x;-7.31066e-07x;1.01975x;20.0215x
1676x;-7.31066e-07x;1.01966x;20.0213x
1677x;-7.31066e-07x;1.01956x;20.0211x
1678x;-7.31066e-07x;1.01946x;20.0209x
1679x;-7.31066e-07x;1.01937x;20.0207x
1680x;-7.31066e-07x;1.01927x;20.0205x
1681x;-7.31066e-07x;1.01917x;20.0203x
1682x;-7.31066e-07x;1.01908x;20.0201x
1683x;-7.31066e-07x;1.01898x;20.0199x
1684x;-7.31066e-07x;1.01889x;20.0197x
1685x;-7.31066e-07x;1.0188x;20.0195x
1686x;-7.31066e-07x;1.0187x;20.0193x
1687x;-7.31066e-07x;1.01861x;20.0191x
1688x;-7.31066e-07x;1.01852x;20.019x
1689x;-7.31066e-07x;1.01843x;20.0188x
1690x;-7.31066e-07x;1.01833x;20.0186x
1691x;-7.31066e-07x;1.01824x;20.0184x
1692x;-7.31066e-07x;1.01815x;20.0182x
1693x;-7.31066e-07x;1.01806x;20.018x
1694x;-7.31066e-07x;1.01797x;20.0179x
1695x;-7.31066e-07x;1.01788x;20.0177x
1696x;-7.31066e-07x;1.01779x;20.0175x
1697x;-7.31066e-07x;1.01771x;20.0173x
1698x;-7.31066e-07x;1.01762x;20.0172x
1699x;-7.31066e-07x;1.01753x;20.017x
1700x;-7.31066e-07x;1.01744x;20.0168x
1701x;-7.31066e-07x;1.01736x;20.0167x
1702x;-7.31066e-07x;1.01727x;20.0165x
1703x;-7.31066e-07x;1.01719x;20.0164x
1704x;-7.31066e-07x;1.0171x;20.0162x
1705x;-7.31066e-07x;1.01702x;20.016x
1706x;-7.31066e-07x;1.01693x;20.0159x
1707x;-7.31066e-07x;1.01685x;20.0157x
1708x;-7.31066e-07x;1.01676x;20.0156x
1709x;-7.31066e-07x;1.01668x;20.0154x
1710x;-7.31066e-07x;1.0166x;20.0153x
1711x;-7.31066e-07x;1.01651x;20.0151x
1712x;-7.31066e-07x;1.01643x;20.015x
1713x;-7.31066e-07x;1.01635x;20.0148x
1714x;-7.31066e-07x;1.01627x;20.0147x
1715x;-7.31066e-07x;1.01619x;20.0145x
1716x;-7.31066e-07x;1.01611x;20.0144x
1717x;-7.31066e-07x;1.01603x;20.0143x
1718x;-7.31066e-07x;1.01595x;20.0141x
1719x;-7.31066e-07x;1.01587x;20.014x
1720x;-7.31066e-07x;1.01579x;20.0138x
1721x;-7.31066e-07x;1.01571x;20.0137x
1722x;-7.31066e-07x;1.01563x;20.0136x
1723x;-7.31066e-07x;1.01556x;20.0134x
1724x;-7.31066e-07x;1.01548x;20.0133x
1725x;-7.31066e-07x;1.0154x;20.0132x
1726x;-7.31066e-07x;1.01533x;20.013x
1727x;-7.31066e-07x;1.01525x;20.0129x
1728x;-7.31066e-07x;1.01517x;20.0128x
1729x;-7.31066e-07x;1.0151x;20.0127x
1730x;-7.31066e-07x;1.01502x;20.0125x
1731x;-7.31066e-07x;1.01495x;20.0124x
1732x;-7.31066e-07x;1.01487x;20.0123x
1733x;-7.31066e-07x;1.0148x;20.0122x
1734x;-7.31066e-07x;1.01473x;20.0121x
1735x;-7.31066e-07x;1.01465x;20.0119x
1736x;-7.31066e-07x;1.01458x;20.0118x
1737x;-7.31066e-07x;1.01451x;20.0117x
1738x;-7.31066e-07x;1.01444x;20.0116x
1739x;-7.31066e-07x;1.01436x;20.0115x
1740x;-7.31066e-07x;1.01429x;20.0114x
1741x;-7.31066e-07x;1.01422x;20.0113x
1742x;-7.31066e-07x;1.01415x;20.0111x
1743x;-7.31066e-07x;1.01408x;20.011x
1744x;-7.31066e-07x;1.01401x;20.0109x
1745x;-7.31066e-07x;1.01394x;20.0108x
1746x;-7.31066e-07x;1.01387x;20.0107x
1747x;-7.31066e-07x;1.0138x;20.0106x
1748x;-7.31066e-07x;1.01373x;20.0105x
1749x;-7.31066e-07x;1.01367x;20.0104x
1750x;-7.31066e-07x;1.0136x;20.0103x
1751x;-7.31066e-07x;1.01353x;20.0102x
1752x;-7.31066e-07x;1.01346x;20.0101x
1753x;-7.31066e-07x;1.0134x;20.01x
1754x;-7.31066e-07x;1.01333x;20.0099x
1755x;-7.31066e-07x;1.01326x;20.0098x
1756x;-7.31066e-07x;1.0132x;20.0097x
1757x;-7.31066e-07x;1.01313x;20.0096x
1758x;-7.31066e-07x;1.01307x;20.0095x
1759x;-7.31066e-07x;1.013x;20.0094x
1760x;-7.31066e-07x;1.01294x;20.0093x
1761x;-7.31066e-07x;1.01287x;20.0092x
1762x;-7.31066e-07x;1.01281x;20.0091x
1763x;-7.31066e-07x;1.01275x;20.0091x
1764x;-7.31066e-07x;1.01268x;20.009x
1765x;-7.31066e-07x;1.01262x;20.0089x
1766x;-7.31066e-07x;1.01256x;20.0088x
1767x;-7.31066e-07x;1.01249x;20.0087x
1768x;-7.31066e-07x;1.01243x;20.0086x
1769x;-7.31066e-07x;1.01237x;20.0085x
1770x;-7.31066e-07x;1.01231x;20.0085x
1771x;-7.31066e-07x;1.01225x;20.0084x
1772x;-7.31066e-07x;1.01219x;20.0083x
1773x;-7.31066e-07x;1.01213x;20.0082x
1774x;-7.31066e-07x;1.01207x;20.0081x
1775x;-7.31066e-07x;1.01201x;20.008x
1776x;-7.31066e-07x;1.01195x;20.008x
1777x;-7.31066e-07x;1.01189x;20.0079x
1778x;-7.31066e-07x;1.01183x;20.0078x
1779x;-7.31066e-07x;1.01177x;20.0077x
1780x;-7.31066e-07x;1.01171x;20.0077x
1781x;-7.31066e-07x;1.01165x;20.0076x
1782x;-7.31066e-07x;1.01159x;20.0075x
1783x;-7.31066e-07x;1.01154x;20.0074x
1784x;-7.31066e-07x;1.01148x;20.0074x
1785x;-7.31066e-07x;1.01142x;20.0073x
1786x;-7.31066e-07x;1.01137x;20.0072x
1787x;-7.31066e-07x;1.01131x;20.0071x
1788x;-7.31066e-07x;1.01125x;20.0071x
1789x;-7.31066e-07x;1.0112x;20.007x
1790x;-7.31066e-07x;1.01114x;20.0069x
1791x;-7.31066e-07x;1.01109x;20.0069x
1792x;-7.31066e-07x;1.01103x;20.0068x
1793x;-7.31066e-07x;1.01098x;20.0067x
1794x;-7.31066e-07x;1.01092x;20.0067x
1795x;-7.31066e-07x;1.01087x;20.0066x
1796x;-7.31066e-07x;1.01081x;20.0065x
1797x;-7.31066e-07x;1.01076x;20.0065x
1798x;-7.31066e-07x;1.01071x;20.0064x
1799x;-7.31066e-07x;1.01065x;20.0063x
1800x;-7.31066e-07x;1.0106x;20.0063x
1801x;-7.31066e-07x;1.01055x;20.0062x
